exam,subject,year,text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
JAMB,Physics,1983,"Which of the following best describes the energy
changes which take place when a steam engine
drives a generator which lights a lamp?","Heat
Light
Sound
Kinetic","Kinetic
Light
Heat
Electricity","Heat
Kinetic
Electricity
Heat and Light","Electricity
Kinetic Heat
Light","Heat
Sound
Kinetic
Electricity.",,
JAMB,Physics,1983,"Which of the following statements clearly describe
the behaviour of the fire alarm shown in Fig. 8
below given that the linear expansivities of copper
and steel are 2.0 x 10-5/0C and 1.2 x 10-5/0C
respectively? Electric bell Copper P Steel Q I
The bimetallic strip will not be able to
close the circuit when there is fire
II
The bimetallic strip will close the circuit
when there is fire
III
If the copper and steel are interchanged,
the circuit will close when there is fire.",I only,II only,III only,I and III,II and III,,
JAMB,Physics,1983,"Four equal resistors R1, R2, R3 and R4 are connected
in series as shown in Fig 9 below. V1, V2 and V3 are
voltmeters connected as indicated. Which of the
following relations is CORRECT?",V1 = V3 = V2 . 2,V1 = 2V2 =V3,V1 = ½ V3 = V2,V1 - V3 = V2,V2 – V1 = V3 .,,
JAMB,Physics,1983,"2 44.
Which of the following may be used to determine
relative humidity in a physics laboratory?
I
Manometer
II
Wet-and-dry bulb hygrometer
III
Hair hygrometer
IV
A hydrometer",I only,II and III only,II only,III only,"II, III and IV only",,
JAMB,Physics,1983,"PQ is a thin rod on a horizontal table, RS is a plane
mirror inclined at 450C to the horizontal as shown
in Fig. 10 above. The image of PQ as seen in the
mirror by the eye, T is",Horizontal,Parallel to the mirror,At infinity,Vertical,Highly magnified.,,
JAMB,Physics,1983,"The speed of light in vacuum is 3.0 x 108m s-1. If the
refractive index of a transparent liquid is 4/3 then
the speed of light in the liquid is",0.44 x 108m s-1,2.25 x 108m s-1,3.0 x 108m s-1,4.0 x 108m s-1,4.33 x 108m s-1,,
JAMB,Physics,1983,"If the force on a charge of 0.2 coulomb in an electric
field is 4N, then the electric field intensity of the
field is",0.8,0.8 N/,"C.
20.0 N/C",4.2 N/C,20.0 C/N,,
JAMB,Physics,1983,"The specific latent heat of vapourization of a
substance is always",Less than its specific latent heat of fusion.,Greater than its specific heat of fusion.,Equal to its specific latent heat of fusion,"All of the above depending on the nature
of the substance",None of the above,,
JAMB,Physics,1983,Longitudinal waves do not exhibit,Refraction,Reflection,Diffraction,Polarization,Rarefaction,,
JAMB,Physics,1983,"Fig. 11 above shows an inverted U-tube with the
open end, O of one limb below the level, W, of the
water in a tank. In order that water should begin to
flow from the tank it is necessary that","The U-tube is completely filled with water
and P should be higher than W.",P should be lower than O and W,"P should be lower than W and O should
reach to the bottom of the vessel.","The U-tube is completely filled with water
and P should be lower than W.","The U-tube is completely filled with water
and O should reach the bottom of the
vessel.",,
JAMB,Physics,1984,"The distance travelled by a particle starting from
rest is plotted against the square of the time elapsed
from the commencement of motion. The resulting
graph is linear. The slope of this graph is a measure
of",Initial displacement,Initial velocity,Acceleration,Half the acceleration,Half the initial velocity,,
JAMB,Physics,1984,"P T
Q R S 0.1N 0.4N
Fig. 1 In Fig. 1, PT is a uniform metre rule pivoted at R,
the 70cm mark. Two forces 0.1N and 0.4N are
applied at Q, the 60cm mark and S. the 85cm mark.
If the metre rule is kept in equilibrium by the forces
and its weight, then the weight of the metre rule is",0.25 N,0.30 N,0.35 N,0.50 N,0.56 N,,
JAMB,Physics,1984,"For which of the underlisted quantities is the
derived unit ML2T-2 correct?
I
Moment of a force
II
Work
III
Acceleration",I only,II only,III only,I and II,II and III,,
JAMB,Physics,1984,"What volume of alcohol with a density of 8.4 x
102kg m-3 will have the same mass as 4.2m3 of petrol
whose density is 7.2 x 102kg m-3?",1.4 m3,3.6 m3,4.9 m3,5.0 m3,5.8 m3,,
JAMB,Physics,1984,"For correcting long sight defects in the human eye
we require a",Converging lens,Diverging lens,Microscope,Periscope,Plain glass sheet.,,
JAMB,Physics,1984,"For a concave mirror to form a real diminished
image, the object must be placed",Behind the mirror,Between the mirror and in focus,"Between the focus and the center of
curvature",At the center of curvature,"At a distance greater than the radius of
curvature.",,
JAMB,Physics,1984,The unit quantity of electricity is called,The ampere,The volt,The coulomb,The ammeter,Electromotive force.,,
JAMB,Physics,1984,The resistance of a wire depends on,The length of the wire,The diameter of the wire,The temperature of the wire,The resistivity of the wire,All of the above.,,
JAMB,Physics,1984,"What is the resistance of the circuit shown in Fig.
2.
2Ohms 2Ohms 3 Ohms 4Ohms Fig. 2",4 Ohms,11 Ohms,19/5 Ohms,17/4 Ohms,8Ohms,,
JAMB,Physics,1984,"Two cells, each of e.m.f. 1.5V and an internal
resistance 2Ohms are connected in parallel.
Calculate the current flowing when the cells are
connected to a 1 Ohms resistor.",0.75 Ohms,1.5 Ohms,0.5 Ohms,1.0 Ohms,0.6 Ohms,,
JAMB,Physics,1984,"Which of the following components is NOT
contained in a dry cell? A",Carbon rod,Paste of magnesium dioxide,Paste of ammonium chloride,Zinc case,Copper rod.,,
JAMB,Physics,1984,"Which of the following can be described
as high tension transmission?",High resistance and low voltage,Low current and high voltage,High current and low voltage,High voltage and zero current,High current and low resistance.,,
JAMB,Physics,1984,"All the heat generated in a 5 ohms resistor by 2A
flowing for 30 seconds is used to evaporate 5g of
liquid at its boiling point. Which of the following
is the correct value of the specific latent heat of
the liquid?",120 J,60 J g-1,120 J g-1,1 500 J,1 500 J g-1,,
JAMB,Physics,1984,"When vibration occurs in an air column, the
distance between a node and an antinodes is equal
to",One-quarter of the wavelength,One-half of the wavelength,The wavelength,Twice the wavelength,Four-times the wavelength.,,
JAMB,Physics,1984,"Which of the following statements is (are) NOT
correct?
I
Pressure changes do not affect the speed
of sound in air
II
The velocity of sound increases with
temperature
III
The quantity of a note depends only on
its frequency.",I only,II only,III only,I and III only,II and III only.,,
JAMB,Physics,1984,"Of two identical turning forks with natural
frequency 256 Hz, one is loaded so that 4 beats per
second are heard when they are sounded together.
What is the frequency of the loaded turning fork?",260 Hz,252 Hz,248 Hz,264 Hz,258 Hz,,
JAMB,Physics,1984,"Dew point is the temperature at which water
vapour in the atmosphere",Turns into steam,Solidifies into ice pellets,First condenses into liquid form,Is just sufficient to cause cooling,Has a relative of fifty percent.,,
JAMB,Physics,1984,"The lower and upper fixed points marked on a
mercury-in-glass thermometer are 210mm apart.
The end of the mercury column in the tube is 49mm
above the lower fixed point in a room. What is the
temperature of the room in degrees Celsius?",55.3 0C,23.3 0C,49.0 0C,16.1 0C,76.7 0C,,
JAMB,Physics,1984,"If a solid changes directly into a gas when heat is
applied the process is called",Vaporization,Evaporation,Sublimation,Ionization,Conversion.,,
JAMB,Physics,1984,"A plane inclined at an angle of 300 to the horizontal
has an efficiency of 60%. The force parallel to the
plane required to push a load of 120N uniformly
up the plane is",60 N,100 N,120 N,200 N,240 N,,
JAMB,Physics,1984,"A body of mass 5kg initially at rest is acted upon
by two mutually perpendicular forces 12N and 5N
as shown in Fig. 3. If the particle moves in the
direction QA, calculate the magnitude of the
acceleration.",0.40m s-2,1.40m s-2,0.26m s-2,2.60m s-2,3.40m s-2,,
JAMB,Physics,1984,"A 12N è
O
5N
Fig. 3 22. 20 10
Force
(N) 0 5 1 0 15 20
Fig. 4 Distance (m) body by the force during the first 10 metres of
motion is",100 J,150 J,200 J,300 J,600 J,,
JAMB,Physics,1984,"A simple pendulum, 0.6m long, has a period of 1.5
s. what is the period of a similar pendulum 0.4m
long in the same location?",1.4 2/3 s,1.5 3/2,2.25 s,1.00 s,"2.00 s A force varying linearly with the distance acts on
a body as shown in Fig. 4. The work done on the
body by the force during the first 10 metres of
motion is
A.
100 J
B.
150 J
C.
200 J
D.
300 J
E.
600 J",,
JAMB,Physics,1984,"A simple pendulum, 0.6m long, has a period of 1.5
s. what is the period of a similar pendulum 0.4m
long in the same location?",1.4 “ 2/3 s,1.5 “3/2,2.25 s,"1.00 s 24.
A small steel needle is carefully floated on water in
a beaker. When a few drops of kerosene are
introduced into the water the needle sinks. Which
of the following statements correctly explain(s) the
observation?
I
There is a tension on the water surface.
II
Kerosene reduces the density of water
so that the needle becomes denser than
water.
III
Kerosene reduces the surface tension of
water. A.
I only
B.
II only
C.
III only
D.
I and II",I and III,,
JAMB,Physics,1984,"Which of the following statements describes an
atom accurately?
I
Atoms of all elements are identical
II
An atom contains a nucleus and number
of electrons.
III
Due to the electrons in the atom, an atom
is negatively charged.
IV
Electrons in the atom move in circular
orbits round the nucleus.",I and II,II and III,III and IV,II and IV,"I, II and III",,
JAMB,Physics,1984,"A particle moves in a circular orbit of radius 0.02m.
If the speed of the particle is 0.88m s-1, calculate its
frequency in cycles per second.",2.0,7.0,8.8,14.0,17.6,,
JAMB,Physics,1984,"Heat is supplied uniformly at the rate of 100W to
1.0 x 10-2kg of a liquid for 20 seconds. If the
temperature of the liquid rises by 50C, then the
specific heat capacity of the liquid is",2.0 x 102J kg-1 K-1,2.0 x 102J kg-1,4.0 x 104J kg-1 K-1,4.0 x 104J kg-1,8.4 x 103J kg-1 K-1,,
JAMB,Physics,1984,"A given mass of an ideal gas occupies a volume V
at a temperature T and under a pressure P. If the
pressure is increase to 2P and the temperature
reduced to 1/2T, then the percentage change in
the volume of the gas is",0 %,25 %,75 %,300 %,400 %,,
JAMB,Physics,1984,"Which of the following properties of matter
CANNOT be utilized for temperature measurement?
The",Length of a liquid column,Volume of a gas at constant pressure.,Pressure of a gas at constant volume,Resistance of a metallic wire,"Current produced in a photoelectric
effect.",,
JAMB,Physics,1984,"The image and object distances of a converging
mirror are related by the equation 1/ƒ = 1/v + 1/u and
the magnification of the image is m = v/u. Which
of the graphs below represents the relation
between m and v?",,,,m m v v,m m,,
JAMB,Physics,1984,"v v C..
m v 31.
Which of the following statements about the
compound microscope and astronomical telescope
is (are) correct?
I
The final image of a compound
microscope is located at infinity.
II
The final image of the astronomical
telescope is always erect.
III
The objective lens of a compound
microscope has a very short focal length.",I only,II only,III only,I and III,II and III,,
JAMB,Physics,1984,"A coin is placed at the bottom of a cube of glass
tcm thick. If the refraction index of the glass is ø,
how high does the coin appear to be raised to an
observer looking perpendicularly into the glass?","1 .
t – ø","t(ø – 1)
ø",t>ý 1 + 1/ø?ý,"t .
ø",t,,
JAMB,Physics,1984,"The electromotive force obtained from a simple
dynamo may be increased by","Increasing the cross-sectional area of the
coil.","Winding the coil on a soft-iron armature
so as to increase the magnetic flux
through the coil.",Increasing the speed of rotation.,Making the field magnet longer.,Using low resistance copper coil.,,
JAMB,Physics,1984,"I S II N III Earth’s
magnetic
field Fig. 5 A short bar magnet is placed in the earth’s magnetic
field as shown in Fig. 5. Which of the points II and
II is (are) possible position(s) of a natural point?",I only,II only,III only,I and II,"I, II and III",,
JAMB,Physics,1984,"4 UF 3 UF 4 UF 2 UF Fig. 6 In the circuit in Fig. 6, calculate the effective
capacitance between X and Y.",¾ UF,2 10/13 UF,12 UF,4 12/13 UF,13 UF,,
JAMB,Physics,1984,"A gun of mass 2.0kg fires a bullet of mass 1.6 x 10-2kg
due East. If the bullet leaves the nozzle of the gun with a velocity of 150m s-1, what is the recoil
velocity of the gun?",150 m s-1 due West,1.2 x 10-4 m s-1 due West.,1.2 m s-1 due West,1.2 m s-1 due East,150 m s-1 due East,,
JAMB,Physics,1984,"Normal atmospheric pressure at sea-level is 105N
m-2 and the acceleration due to gravity is
approximately 10m s-1. If the atmosphere has a
uniform density of 1kg m-3, its height is",100 m,1000 m,10 000 m,100 000 m,1000 000 m,,
JAMB,Physics,1984,"Which of the following is a correct explanation of
the inertia of a body?",Ability to overcome the earth’s gravity,Reluctance to stop moving,Readiness to start moving,"Reluctance to start moving and its
readiness to stop moving once it has
begun to move","Reluctance to start moving and its
reluctance to stop moving once it has
begun to move.",,
JAMB,Physics,1984,"If a water pump at Kainji Dam is capable of lifting
1000kg of water through a vertical height of 10m in
10s, the power of the pump is",1.0 kW,10.0 kW,12.5 kW,15.0 kW,"20.0 kW
(g = 10m s-2)",,
JAMB,Physics,1984,"What is the apparent colour of a RED SHIRT when
viewed in PURE green light?",Red,Green,Yellow,Black,Blue,,
JAMB,Physics,1984,"The spectrum of white light consists of coloured
lights arranged in the following order","Blue, red, green. Yellow, indigo, violet,
orange.","Red, orange, yellow, green, blue, indigo,
violet.","Red, orange, yellow, indigo, green, blue,
violet.","Indigo, green, blue, violet, yellow, red,
orange.","Yellow, blue, green, violet, orange, indigo,
red.",,
JAMB,Physics,1984,Cathode rays are,High-energy electromagnetic waves,Protons,Streams of electrons,Neutrons,Radio waves,,
JAMB,Physics,1984,"A device that converts sound energy into electrical
energy is",The horn of a motor car,An A.,"generator
C.
A microphone",The telephone earpiece,A loudspeaker.,,
JAMB,Physics,1984,"Which of the following
I
â-particles
II
Protons
III
Neutrons
IV
á-particles
may be found in light nuclei?",I and II,I and III,II and IV,II and III,"I, II, and III.",,
JAMB,Physics,1984,"Radio waves have a velocity of 3 x 108m s-1. A radio
station sends out a broadcast on a frequency of
800 kHz. The wavelength of the broadcast is",375.0 m,267.0 m,240.0 m,37.5 m,26.7 m,,
JAMB,Physics,1984,"X 4Ohms Y 6Ohms Fig. 7 In the diagram above (Fig. 7), X and Y are
resistances 45 ohms and 65 ohms respectively. If
power dissipation in X is 10W, then power
dissipation in Y is",2.4 W,4.0 W,6.0 W,6.7 W,15.0 W,,
JAMB,Physics,1984,"What is the cost of running five 50W lamps and
four 100W lamps for 10 hours if electrical energy
costs 2 kobo per kWh?",N 0.65,N 0.13,N 3.90,N 39.00,N 234.00,,
JAMB,Physics,1984,"Which of the following statements is (are) NOT
true about the emission of photoelectrons from
metallic surfaces?
I
All metallic surfaces emit the same
number of photoelectrons in a given light.
II
Most metallic surfaces in visible and
infrared light.
III
A metallic surface emits photoelectric only
if frequency of the incident light is higher
than its own characteristic threshold
frequency.",I only,II only,I and II,II and III,III only,,
JAMB,Physics,1984,"A galvanometer of resistance 5.0Ù has full-scale
deflection for a current of 100mA. How would its
range be extended to 1.0A by placing a resistance
of",5/9 Ohms in parallel,9/5 Ohms in series,45 Ohms in parallel,45 Ohms in series,9/5 Ohms in parallel.,,
JAMB,Physics,1984,"Fig 8 above represents an insulated cylindrical coil
or copper wire wound round a paper tube. The
ends of the coil are connected to a sensitive
galvanometer. When a magnet was plunged into
the coil it was observed that the galvanometer
needle gave a deflection. Which of the following
correctly describes this experiment?","The effect illustrated is induced
electromotive force.","The strength of the current produced is
inversely proportional to the speed with
which the magnet is plunged into the coil.","The direction of the current is always
such as to enhance the change producing
it.","The galvanometer gave a permanent
deflection.","On removing the magnet from the coil the
galvanometer deflected in the same
direction.",,
JAMB,Physics,1985,"Which of the following is NOT a fundamental S.I.
unit?",Metre,Ampere,Kelvin,Second,Radian,,
JAMB,Physics,1985,"A simple pendulum with a period of 2.0s has its
length doubled. Its new period is",1.00 s,1.41 s,0.35 s,2.83 s,4.00 s,,
JAMB,Physics,1985,"Which of the following statements are true about
the spring balance and the chemical balance? I
Both are used to measure the mass of an
object.
II
Either of them may be used to measure
the weight of an object.
III
The spring balance works on the principle
of Hooke’s law while the chemical balance
works on the principle of moments.
IV
A change in gravity changes the readings
of a spring balance but not that of a
chemical balance.",I and IV,II and III,III and IV,"I, II, and III",I and III.,,
JAMB,Physics,1985,"Which of the following types of motion are
oscillatory?
I
A driving board when used by a driver.
II
The motion of the balance wheel of a wrist
watch.
III
The motion of the turn-table of a record
player.
IV
The motion of the center of a ten kobo
piece as it rolls down an inclined plane.
V.
The motion of the needle of a D.C.
ammeter into which a low A.C. current is
passed.",I and II only,"I, II and III","II, III and IV","I, II and V","III, IV, and V.",,
JAMB,Physics,1985,"10 8 Velocity
(ms-1) 6 4 2 0 1 2 3 4 5 6
Time (s)
Fig 1
The graph Fig. 1 above describes the motion of a
particle. The acceleration of the particle during the
motion is",0.00m s2,0.25m s-2,4.00m s-2,8.00m s-2,10.00m s-2,,
JAMB,Physics,1985,"If a car starts from rest and moves with a uniform
acceleration of 10m s-2 for ten seconds, the distance
it covers in the last one second of the motion is",95 m,100 m,500 m,905 m,1 000 m,,
JAMB,Physics,1985,"A block of mass 2.0kg resting on a smooth
horizontal plane is acted upon simultaneously by
two-forces, 10N due North and 10N due East. The
magnitude of the acceleration produced by the
forces on the block is",0.10m s-2,7.05m s-2,10.00m s-2,14.10m s-2,20.00m s-2,,
JAMB,Physics,1985,"A metal block of mass 5kg lies on a rough horizontal
platform. If a horizontal force of 8N applied to the
block through its centre of mass just slides the
block on the platform, then the coefficient of
limiting friction between the block and the platform
is",0.16,0.63,0.80,1.60,2.00,,
JAMB,Physics,1985,Which of the following is NOT a force?,Friction,Tension,Upthrust,Weight,Impulse.,,
JAMB,Physics,1985,"Two masses 40g and 60g respectively, are attached
firmly to the ends of a light metre rule. The centre
of gravity of the system is",At the mid-point of the metre rule,40cm from the lighter mass,40cm from the heavier mass,60cm from the heavier mass,"indeterminate because the metre-rule is
light.",,
JAMB,Physics,1985,"P 10 20 300 80
M
N
L R
O 30kg Fig 2 In Fig. 2 above. MN is a light uniform metre rule
pivoted at O, the 80cm mark. A load of mass 3.0kg
is suspended on the rule at L, the 10cm mark. If the
rule is kept in equilibrium by a string RP, fixed at P
and attached to the rule at R, the 20cm mark, then
the tension T in the string is",25 N,50 N,250 N,5 000 N,25 000 N,,
JAMB,Physics,1985,"A 0.05kg bullet traveling at 500m s-1 horizontal
strikes a thick vertical wall. A load of mass 3.0kg is suspended on the rule at L, the 10cm mark. If the
rule is kept in equilibrium by a string RP, fixed at P
and attached to the rule at R, the 20cm mark, then
tension T in the string is",25 N,50 N,250 N,5 000 N,25 000 N,,
JAMB,Physics,1985,"A force of 100N stretches an elastic string to a
total length of 20cm. If an additional force of 100N
stretches the string 5cm further, find the natural
length of the string.",15 cm,12 cm,10 cm,8 cm,5 cm,,
